Message Payload in SQS,Log Message in CloudWatch,Query Start Time,Query End Time
"{""clientId"":""CELADEV03"",""cid"":""202"",""bid"":""1"",""type"":""BID_AVAILABLE""}",346151 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715629672,1614715689672
"{""clientId"":""CELADEV03"",""cid"":""166"",""bid"":""1"",""type"":""BID_AVAILABLE""}",354715 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715290400,1614715350400
"{""clientId"":""CELADEV03"",""cid"":""213"",""bid"":""1"",""type"":""BID_AVAILABLE""}",15642 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715291664,1614715351664
"{""clientId"":""CELADEV03"",""cid"":""121"",""bid"":""3"",""type"":""BID_AVAILABLE""}",16774 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715313409,1614715373409
"{""clientId"":""CELADEV03"",""cid"":""113"",""bid"":""1"",""type"":""BID_AVAILABLE""}",Log stream name is not found,1614715304862,1614715364862
"{""clientId"":""CELADEV03"",""cid"":""217"",""bid"":""1"",""type"":""BID_AVAILABLE""}",38538 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715294503,1614715354503
"{""clientId"":""CELADEV03"",""cid"":""50"",""bid"":""6"",""type"":""BID_AVAILABLE""}",29803 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715350542,1614715410542
"{""clientId"":""CELADEV03"",""cid"":""75"",""bid"":""94"",""type"":""BID_AVAILABLE""}",19700 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715350087,1614715410087
"{""clientId"":""CELADEV03"",""cid"":""118"",""bid"":""9"",""type"":""BID_AVAILABLE""}",Log stream name is not found,1614715353920,1614715413920
"{""clientId"":""CELADEV03"",""cid"":""34"",""bid"":""5"",""type"":""BID_AVAILABLE""}",75666 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715630685,1614715690685
"{""clientId"":""CELADEV03"",""cid"":""75"",""bid"":""12"",""type"":""BID_AVAILABLE""}",75036 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715654571,1614715714571
"{""clientId"":""CELADEV03"",""cid"":""126"",""bid"":""1"",""type"":""BID_AVAILABLE""}",78880 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715655032,1614715715032
"{""clientId"":""CELADEV03"",""cid"":""208"",""bid"":""1"",""type"":""BID_AVAILABLE""}",355639 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715658385,1614715718385
"{""clientId"":""CELADEV03"",""cid"":""124"",""bid"":""1"",""type"":""BID_AVAILABLE""}",379525 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715303769,1614715363769
"{""clientId"":""CELADEV03"",""cid"":""176"",""bid"":""1"",""type"":""BID_AVAILABLE""}",379990 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715318500,1614715378500
"{""clientId"":""CELADEV03"",""cid"":""165"",""bid"":""3"",""type"":""BID_AVAILABLE""}",383324 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715351262,1614715411262
"{""clientId"":""CELADEV03"",""cid"":""127"",""bid"":""2"",""type"":""BID_AVAILABLE""}",Log stream name is not found,1614715341058,1614715401058
"{""clientId"":""CELADEV03"",""cid"":""127"",""bid"":""5"",""type"":""BID_AVAILABLE""}",Log stream name is not found,1614715319953,1614715379953
"{""clientId"":""CELADEV03"",""cid"":""67"",""bid"":""4"",""type"":""BID_AVAILABLE""}",Log stream name is not found,1614715322924,1614715382924
"{""clientId"":""CELADEV03"",""cid"":""212"",""bid"":""1"",""type"":""BID_AVAILABLE""}",Log stream name is not found,1614715459849,1614715519849
"{""clientId"":""CELADEV03"",""cid"":""52"",""bid"":""3"",""type"":""BID_AVAILABLE""}",Log stream name is not found,1614715455622,1614715515622
"{""clientId"":""CELADEV03"",""cid"":""31"",""bid"":""4"",""type"":""BID_AVAILABLE""}",28828 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715467419,1614715527419
"{""clientId"":""CELADEV03"",""cid"":""120"",""bid"":""4"",""type"":""BID_AVAILABLE""}",43698 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715452662,1614715512662
"{""clientId"":""CELADEV03"",""cid"":""114"",""bid"":""2"",""type"":""BID_AVAILABLE""}",76421 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715295891,1614715355891
"{""clientId"":""CELADEV03"",""cid"":""31"",""bid"":""20"",""type"":""BID_AVAILABLE""}",66185 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715302504,1614715362504
"{""clientId"":""CELADEV03"",""cid"":""31"",""bid"":""15"",""type"":""BID_AVAILABLE""}",44962 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715303270,1614715363270
"{""clientId"":""CELADEV03"",""cid"":""31"",""bid"":""24"",""type"":""BID_AVAILABLE""}",47905 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715297498,1614715357498
"{""clientId"":""CELADEV03"",""cid"":""202"",""bid"":""4"",""type"":""BID_AVAILABLE""}",184892 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715296568,1614715356568
"{""clientId"":""CELADEV03"",""cid"":""119"",""bid"":""2"",""type"":""BID_AVAILABLE""}",180573 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715307967,1614715367967
"{""clientId"":""CELADEV03"",""cid"":""196"",""bid"":""1"",""type"":""BID_AVAILABLE""}",192450 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715328822,1614715388822
"{""clientId"":""CELADEV03"",""cid"":""189"",""bid"":""1"",""type"":""BID_AVAILABLE""}",177667 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715327494,1614715387494
"{""clientId"":""CELADEV03"",""cid"":""197"",""bid"":""4"",""type"":""BID_AVAILABLE""}",21060 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715322449,1614715382449
